text,image
"✨ Ordzaar’s Yin Yang Cursed inscriptions bring a unique standard of on-chain provenance. Experience a new level of authenticity on Bitcoin!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o1.jpg"

"🎉 OdinSwap is here! Seamlessly swap Runes & BTC and earn XP rewards. Dive into the growing Rune ecosystem on Bitcoin Layer 1!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o2.jpg"

"💡 Studio Mode on Ordzaar enables anyone to launch their Ordinals collections without technical skills. Creativity has no limits!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o3.jpg"

"🚀 Ordzaar's anti-frontrunning feature ensures fairness and transparency in every transaction. A safer, more equitable experience for all users!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o4.jpg"

"🖼️ Ordzaar’s recent inscription, the 4th largest on Bitcoin, is a monumental step for the digital art space. History in the making!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o5.jpg"

"🎨 Ordzaar is preserving Balinese art on Bitcoin through its collaboration with the Bali Blockchain Center. Where culture meets cutting-edge tech!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o6.jpg"

"⚡️ The $ZAAR Airdrop Season 1 ends soon! Maximize your rewards by providing liquidity and performing swaps on OdinSwap. Don’t miss out!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o7.jpg"

"🏆 Secure your Ordzaar Pass for exclusive access, discounts, airdrops, and more. A rare opportunity in the Bitcoin Ordinals ecosystem!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o8.jpg"

"💎 Ordzaar is organizing the biggest BTC Summit 2023/2024 in Singapore during Token2049. Be part of the largest Ordinals & Runes event in the world!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o9.jpg"

"📢 OdinSwap offers XP rewards for both traders and liquidity providers. The more you swap, the more XP you earn — start stacking those rewards!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o1.jpg"
